Order_ID,Order_Date,Customer_ID,Region,Product,Quantity,Unit_Price,Discount,Revenue,Payment_Status
ORD-10000,08 Apr 2023,CUST-1108,Brisbane,Laptop,7,1558.5,15,9273.07,Failed
ORD-10001,99-99-9999,-,Perth,Keyboard,7,155.05,15,922.55,Pending
ORD-10002,20 Oct 2025,none,Perth,Tablet,10,799.8,20,6398.4,Paid
ORD-10003,19 Sep 2024,CUST-1080,Syd,Mouse,11,58.58,10%,"12 500,40",PAID
ORD-10004,99-99-9999,CUST-1030,Melbourne,Keyboard,3,-99.99,15,395.45,1
ORD-10005,2023-11-08,CUST-1020,Adelaide,Keyboard,1,126.82,15,107.8,Failed
ORD-10006,31/02/2026,CUST-1109,adelaide,LAPTOP,12,1604.38,25,-5000,Pending
ORD-10007,2026/06/02,CUST-1047,Perth,Laptop,6,1222.93,5,6970.7,Paid
ORD-10008,03 May 2024,CUST-1045,Melbourne,Tablet,,707.03,20,6221.86,Paid
ORD-10009,22/12/2025,CUST-1045,Adelaide,Headphones,9,243.62,10,99999999,Pending
ORD-10010,14 May 2023,CUST-1085,Melbourne,Headphones,,246.41,5,1170.45,Failed
ORD-10011,07-03-2023,CUST-1074,Adelaide,Mouse,1,77.33,25,58.0,unknown
ORD-10012,15/06/2023,CUST-1094,Syd,Keyboard,11,USD 160.73,0,1768.03,Pending
ORD-10013,02 Jan 2025,CUST-1017,Brisbane,Headphones,4,193.28,15,657.15,Refunded
ORD-10014,2023/05/26,unknown,Brisbane,Headphones,1,196.43,15,166.97,Pending
ORD-10015,2023-09-22,CUST-1117,Syd,Tablet,2,590.94,10,1063.69,Failed
ORD-10016,2025/10/11,unknown,Melbourne,Keyboard,4,128.48,15,436.83,Failed
ORD-10017,17/06/2025,unknown,Sydney,Phone,10,772.74,0,7727.4,Paid
ORD-10018,2024-09-08,unknown,Adelaide,Tablet,11,796.42,10,,Paid
ORD-10019,2024-04-15,CUST-1034,Brisbane,Monitor,7,466.62,0,,Failed
ORD-10020,21/05/2026,?,Sydney,Phone,6,876.0,20,4204.8,Paid
ORD-10021,2024-10-18,CUST-1128,Melbourne,Headphones,11,223.51,15,2089.82,1
ORD-10022,2024-12-17,CUST-1094,SYDNEY,Headphones,12,-99.99,20,2205.89,Refunded
ORD-10023,2025/00/12,CUST-1045,Brisbane,Keyboard,,155.98,15,1060.66,Refunded
ORD-10024,2025/04/25,CUST-1062,Brisbane,Laptop,6,1339.23 ,25,6026.53,Refunded
ORD-10025,2023-05-01,CUST-1022,Adelaide,Laptop,9,1110.51,1000,8995.13,Failed
ORD-10026,09-22-2023,CUST-1076,Brisbane,Keyboard,12,"1,299.00",20,,
ORD-10027,30 Jan 2023,CUST-1073,Brisbane,Laptop,11,1195.62,10,11836.64,Paid
ORD-10028,15/02/2025,CUST-1058,perth,Phone,4,1114.18,150%,99999999,Pending
ORD-10030,06-27-2023,CUST-1120,Melbourne,Mouse,,66.11,1000,"$16,267.03",Pending
ORD-10031,not a date,CUST-1124,MELBOURNE,Mouse,-3,67.04,5,254.75,Paid
ORD-10032,2025/12/12,CUST-1103,perth,Monitor,five,479.96,10,863.93,Failed
ORD-10033,99-99-9999,CUST-1083,Melbourne,Phone,8,988.49,10,7117.13,Pending
ORD-10034,13/13/26,CUST-1075,Sydney,Keyboard,3,120.14,20,288.34,Refunded
ORD-10035,03-06-2025,CUST-1125,Perth,Laptop,8,1513.48,1000,11502.45,Pending
ORD-10036,10 Oct 2023,CUST-1103,Adelaide,Phone,6,864.94,1000,5189.64,Pending
ORD-10037,28 May 2025,CUST-1104,Melbourne,Keyboard,5,155.95,25,584.81,Refunded
ORD-10038,2024-04-22,CUST-1126,Sydney,Monitor,1,396.13,10,"1,2O0.50",Paid
ORD-10039,2026-04-23,CUST-1044,Perth,Keyboard,4,152.22,10,547.99,Failed
ORD-10040,2026/07/18,CUST-1018,Adelaide,Headphones,8,175.92,5,1336.99,Failed
ORD-10041,09 Apr 2026,,Adelaid,Laptop,9,1345.06,15,10289.71,Pending
ORD-10042,2023-01-17,CUST-1115,Brisbane,Keyboard,6,112.1,25,504.45,Paid
ORD-10043,2025-09-30,CUST-1027,Melbourne,Monitor,12,348.5,15,3554.7,Failed
ORD-10044,09-03-2023,CUST-1137,MELBOURNE,Tablet,3,USD 608.21,0,1824.63,Refunded
ORD-10045,13/13/26,CUST-1006,Adelaide,Headphones,7,180.55,15,"$6,056.41",Pending
ORD-10046,2023-01-28,CUST-1127,Brisbane,Laptop,8,1355.24,10,9757.73,Refunded
ORD-10047,2025/08/04,CUST-1050,Perth,Tablet,8,736.88,5,5600.29,Paid
ORD-10048,2026-04-15,CUST-1113,Adelaide,Mouse,10,61.74,20,493.92,Refunded
ORD-10049,2025/02/10,CUST-1051,Melbourne,Tablet,6,674.32,0,4045.92,Refunded
ORD-10050,15/08/2023,CUST-1061,Sydney,Mouse,1,68.47,25,51.35,1
ORD-10051,09-21-2025,CUST-1014,sydney,phone,1O,864.05,-10,"12 500,40",Paid
ORD-10052,not a date,CUST-1105,Adelaide,Laptop,12,"1.299,00",10,11510.42,Refunded
ORD-10053,27 May 2025,CUST-1099,perth,Phone,1,991.08,0,991.08,Paid
ORD-10054,99-99-9999,CUST-1137,Adelaide,Mouse,7,70.09,five,392.5,1
ORD-10055,08 Aug 2025,CUST-1068,adelaide,Headphones,2.5,178.91,10,161.02,pendng
ORD-10056,2025/00/12,CUST-1031,Adelaide,Phone,12,999.51,10,-5000,Refunded
ORD-10057,2025/00/12,CUST-1104,Sydney,Headphones,2.5,246.0,5,2570.7,Paid
ORD-10058,24 Jan 2025,none,Adelaide,Phone,4,1043.54,10,3756.74,Refunded
ORD-10059,99-99-9999,CUST-1097,Perth,Keyboard,8,116.85,15,794.58,Refunded
ORD-10060,2024-01-06,CUST-1099,Sydney,Monitor,1,471.98,5,448.38,Pending
ORD-10061,2026-05-29,,Perth,Laptop,3,1387.5,,3954.38,pendng
ORD-10062,26 Sep 2025,CUST-1046,Adelaide,Tablet,4,675.46,20,,Paid
ORD-10063,2025/00/12,,Adelaide,Tablet,6,770.23,0,4621.38,Paid
ORD-10064,22 Nov 2024,CUST-1000,Melbourne,Monitor,,"1,299.00",0,689.14,Pending
ORD-10065,2025-01-06,,Sydney,Laptop,11,1411.47,10,13973.55,Pending
ORD-10066,2025/10/13,CUST-1014,Melbourne,Mouse,1,67.03,10,-5000,Refunded
ORD-10067,14 Oct 2025,CUST-1112,MELBOURNE,Monitor,five,$404.87,5,4615.52,Paid
ORD-10068,13/08/2023,CUST-1128,Perth.,Headphones,11,205.04,10,2029.9,unknown
ORD-10069,2024-03-11,CUST-1140,Adelaide,Keyboard,5,116.53,20,"1,2O0.50",unknown
ORD-10070,07/09/2025,CUST-1124,Melbourne,Monitor,1,363.73,5,345.54,Failed
ORD-10071,06/07/2024,CUST-1123,Sydney,Phone,2,"1,104.98",0,2209.96,Paid
ORD-10072,2024-03-07,CUST-1091,Perth.,Mouse,12,80.32,five,722.88,Paid
ORD-10073,11 Apr 2024,none,Perth.,Monitor,9,"1,299.00",0,4373.19,Pending
ORD-10075,2024-06-05,CUST-1045,Syd,Mouse,6,68.23,15,347.97,Refunded
