SKU,Product_Name,Category,Supplier,Stock_Qty,Reorder_Level,Unit_Cost,Warehouse,Last_Restock,Status
SKU-500000,Product 1,Home,PrimeSource,723,NaN,1161.51,Melbourne WH,2026/07/10,In Stock
SKU-500001,Unknown Item,Home,Apex Supply,89,44,2002.06,SYD,15/06/2021,In Stock
SKU-500002,Product 3,office supplies,Vertex Trading,294,77,650.58,WH-ADE,17.09.2022,LOW STOCK 
SKU-500003,Product 4,soft ware,Nova,403,142,1283.47,ADE,18/05/2023,LOW STOCK 
SKU-500004,Product 5,Home,Global Parts,"1,200",138,935.7,N/A,NA,In Stock
SKU-500005,Product 6,Software,Metro Goods,702,"1,000",803.14,WH-PER,31/02/2026,In Stock
SKU-500006,Product 7,Office,Apex Supply,818,102,AUD 500,WH-ADE,2023/12/08,In Stock
SKU-500007,Product 8,OFFICE,Prime Source,789,54,1873.45,WH-BNE,null,In Stock
12345,Product 9,Software,PrimeSource,591,,1256.82,WH-MEL,2024-10-13,in stock
SKU-500009,Product 10,Office,Prime Source,999999,78,221.81,WH-MEL,2025/10/16,In Stock
SKU-500010,Product 11,Accessories,Nova Wholesale,263,34,1029.92,WH-MEL,03-27-2021,In Stock
SKU-500011,Product 12,Office,Metro Goods,209,18,"1,299.50",WH-MEL,?,In Stock
SKU-500012,???,Software,,-1,NaN,833.95,WH-BNE,2026-09-08,Available
SKU-500013,Product 14,Electronics,Metro Goods,-50,37,USD 120,WH-SYD,13 Oct 2023,OOS
SKU-500014,Product 15,Electronics,unknown,81,87,1358.24,N/A,missing,Low Stock
SKU-500015,product_name,Accessories ,Prime Source,378,29,2336.65,SYD,14 May 2023,In Stock
SKU-500016,Product 17,Software,Metro Goods,NaN,64,"1,299.50",WH-SYD,2026/06/04,In Stock
SKU-500017,Product 18,Accessories ,123,0,139,492.63,N/A,17.02.2024,Out of Stock
SKU-500018,N/A,soft ware,Apex Supply,764,146,"2 500,00",WH-BNE,2021/12/02,In Stock
SKU-500019,Product 20,office supplies,Apex Supply,1O0,46,942.58,WH-SYD,08-28-2026,In Stock
SKU-500020,Product 21,Unknown,Prime Source,95,64,N/A,WH-PER,NA,In Stock
SKU-500021,Product 22,Software,Global Parts,527,103,731.37,unknown,05-09-2026,Available
SKU-500022,Product 23,ELECTRONICS ,PrimeSource,N/A,111,AUD 500,N/A,null,in stock
SKU-500023,  Product 24  ,Accessories,Metro Goods,N/A,73,1323.4,,31/12/2023,
SKU-500024,Product 25,Accessories,Metro Goods,726,119,"1.299,50",WH-MEL,02-17-2023,INSTOCK
SKU-500025,Product 26 ,Office,PrimeSource,339,82,57.31,SYD,29.05.2026,In Stock
SKU-500026,Product 27,soft ware,N/A,446,9999,433.22,WH-bne,12-13-2021,In Stock
SKU-500027,Product 28,Home,Global Parts,234,106,102.01,WH-SYD,missing,In Stock
SKU-500022,123456,Software,Global Parts,245,-10,$99.99,Melbourne WH,32 Jan 2025,In Stock
SKU-500029,Product 30,Electronics,PrimeSource,690,83,1092.66,WH-SYD,03-12-2022,in stock
SKU-500030,Unknown Item,electronic,N/A,NaN,19,2376.18,WH-BNE,2026/05/29,In Stock
,Product,Accessories,Vertex Trading,557,21,10O.50,WH-MEL,not-a-date,In Stock
SKU-500032,Product 33,Accessories ,Vertex Trading,-50,9999,N/A,N/A,2024/08/23,In Stock
SKU-500033,Product,N/A,Vertex Trading,530,86,-250,WH-ADE,15/05/2021,In Stock
SKU-????,Product 35,accessory,Apex Supply,683,78,1816.86,WH-bne,04-15-2026,N/A
SKU-500035,Product 36,OFFICE,Global Parts,721,94,627.99,WH-MEL,03-01-2025,In Stock
SKU-500036,Product 37,Home,Vertex Trading,17,9999,"2 500,00",WH-BNE,2023-11-26,Low Stock
SKU-500037,Product 38,Accessories,Apex Supply,ten,52,1998.26,WH-SYD,18.11.2022,In Stock
