Order_ID,Order_Date,Customer_ID,Region,Product,Quantity,Unit_Price,Discount_Pct,Revenue,Profit
ORD-10001,2025-05-16,CUST-1140,Melbourne,Keyboard,1,125.74,20,100.59,16.17
ORD-10002,2025-06-17,CUST-1037,Adelaide,Keyboard,3,141.81,20,340.34,109.12
ORD-10003,2026-05-08,CUST-1125,Sydney,Tablet,8,650.98,20,4166.27,898.86
ORD-10004,2025-03-30,CUST-1019,Sydney,Laptop,10,1252.9,0,12529.0,2533.51
ORD-10005,2025-06-27,CUST-1027,Sydney,Tablet,12,595.95,0,7151.4,1182.26
ORD-10006,2026-02-15,CUST-1052,Brisbane,Tablet,9,643.14,0,5788.26,2110.42
ORD-10007,2025-06-12,CUST-1124,Brisbane,Headphones,5,191.86,15,815.41,265.16
ORD-10008,2026-06-20,CUST-1131,Brisbane,Monitor,13,395.84,0,5145.92,1939.27
ORD-10009,2026-03-27,CUST-1106,Perth,Headphones,10,208.98,20,1671.84,260.92
ORD-10010,2025-02-25,CUST-1128,Melbourne,Keyboard,12,135.93,5,1549.6,438.76
ORD-10011,2026-01-24,CUST-1016,Melbourne,Tablet,4,719.1,20,2301.12,611.01
ORD-10012,2026-01-04,CUST-1039,Perth,Tablet,6,711.55,5,4055.83,1162.45
ORD-10013,2026-07-10,CUST-1108,Adelaide,Phone,15,957.99,10,12932.86,3423.82
ORD-10014,2025-12-27,CUST-1100,Perth,Headphones,5,217.4,20,869.6,257.32
ORD-10015,2026-03-20,CUST-1055,Adelaide,Tablet,10,618.88,0,6188.8,1812.86
ORD-10016,2026-04-06,CUST-1039,Adelaide,Keyboard,7,120.46,0,843.22,299.92
ORD-10017,2026-01-23,CUST-1029,Brisbane,Tablet,8,653.0,20,4179.2,1192.91
ORD-10018,2025-06-30,CUST-1014,Perth,Laptop,9,1337.42,20,9629.42,1816.23
ORD-10019,2025-10-14,CUST-1069,Sydney,Laptop,5,1340.25,5,114591.42,1993.48
ORD-10020,2025-04-18,CUST-1003,Perth,Keyboard,1,128.16,0,128.16,46.47
ORD-10021,2025-12-07,CUST-1069,Perth,Tablet,12,689.73,20,6621.41,2085.92
ORD-10022,2026-06-20,CUST-1073,Melbourne,Tablet,13,716.62,5,8850.26,3127.83
ORD-10023,2025-08-19,CUST-1112,Brisbane,Phone,7,971.55,20,5440.68,1614.1
ORD-10024,2025-07-08,CUST-1014,Perth,Monitor,13,378.57,15,4183.2,1211.87
ORD-10025,2025-11-01,CUST-1031,Brisbane,Headphones,9,210.59,10,1705.78,365.36
ORD-10026,2025-11-06,CUST-1107,Sydney,Monitor,3,377.99,0,1133.97,228.26
ORD-10027,2026-07-15,CUST-1129,Perth,Headphones,9,193.64,5,1655.62,345.93
ORD-10028,2025-10-17,CUST-1115,Perth,Laptop,2,1446.78,0,2893.56,579.52
ORD-10029,2026-05-01,CUST-1149,Sydney,Tablet,5,670.25,20,2681.0,912.44
ORD-10030,2025-05-28,CUST-1044,Sydney,Headphones,8,181.77,15,1236.04,431.81
ORD-10031,2026-02-14,CUST-1088,Melbourne,Keyboard,9,140.63,0,1265.67,433.73
ORD-10032,2025-12-30,CUST-1044,Perth,Keyboard,13,126.11,5,1557.46,485.28
ORD-10033,2026-05-25,CUST-1064,Sydney,Monitor,14,395.75,20,4432.4,1351.75
ORD-10034,2025-03-27,CUST-1123,Melbourne,Headphones,14,183.92,0,2574.88,706.98
ORD-10035,2025-08-19,CUST-1124,Melbourne,Tablet,7,634.92,0,4444.44,1273.97
ORD-10036,2025-02-08,CUST-1081,Adelaide,Keyboard,7,116.68,10,735.08,269.46
ORD-10037,2025-05-20,CUST-1037,Sydney,Keyboard,11,140.26,0,1542.86,294.94
ORD-10038,2025-02-20,CUST-1061,Melbourne,Headphones,13,204.24,15,2256.85,768.01
ORD-10039,2025-03-03,CUST-1079,Sydney,Headphones,3,209.05,10,564.44,129.55
ORD-10040,2026-03-05,CUST-1075,Adelaide,Monitor,11,367.98,15,3440.61,783.54
